index,Bacteria;Chloroflexi,Bacteria;Planctomycetota,Archaea;Nanoarchaeota,Bacteria;Patescibacteria,Bacteria;Proteobacteria,Bacteria;Actinobacteriota,Archaea;Aenigmarchaeota,Bacteria;Acidobacteriota,Archaea;Altiarchaeota,Bacteria;Firmicutes,Bacteria;Bdellovibrionota,Bacteria;Dependentiae,Bacteria;Spirochaetota,Bacteria;Margulisbacteria,Bacteria;Myxococcota,Archaea;Halobacterota,Archaea;Crenarchaeota,Bacteria;Latescibacterota,Bacteria;NB1-j,Bacteria;Desulfobacterota,Bacteria;Verrucomicrobiota,Archaea;Iainarchaeota,Bacteria;DTB120,Bacteria;Elusimicrobiota,Eukaryota;SAR,Archaea;Asgardarchaeota,Archaea;Euryarchaeota,Bacteria;CK-2C2-2,Bacteria;Sva0485,Archaea;Thermoplasmatota,Bacteria;Bacteroidota,Bacteria;Marinimicrobia (SAR406 clade),Bacteria;MBNT15,Bacteria;Nitrospinota,Bacteria;Zixibacteria,Bacteria;Nitrospirota,Archaea;Micrarchaeota,Bacteria;LCP-89,Bacteria;Armatimonadota,Bacteria;WOR-1,Bacteria;Gemmatimonadota,Bacteria;Fibrobacterota,Bacteria;Calditrichota,Bacteria;Sumerlaeota,Bacteria;Aerophobota,Bacteria;WS1,Bacteria;NKB15,Bacteria;SAR324 clade(Marine group B),Bacteria;Dadabacteria,Bacteria;BHI80-139,Bacteria;Desantisbacteria,Bacteria;Schekmanbacteria,Archaea;Hadarchaeota,Archaea;Hydrothermarchaeota,Bacteria;Caldatribacteriota,Bacteria;TA06,Bacteria;WS2,Eukaryota;Amorphea,Bacteria;Cyanobacteria,Bacteria;Hydrogenedentes,Bacteria;Cloacimonadota,Bacteria;WPS-2,Bacteria;Modulibacteria,Eukaryota;Archaeplastida,Bacteria;10bav-F6,Bacteria;Methylomirabilota,Bacteria;Deferrisomatota,Bacteria;Fusobacteriota,Bacteria;Fermentibacterota,Bacteria;Entotheonellaeota,Eukaryota;Discoba,Bacteria;Campylobacterota,Bacteria;PAUC34f,Bacteria;Poribacteria,Bacteria;AncK6,Bacteria;GN01,Bacteria;Acetothermia,Bacteria;FCPU426
B24,2695,1262,697,519,1227,259,54,584,10,136,0,86,78,0,6,19,3068,27,0,837,66,16,0,178,20,1994,5,0,58,1195,28,93,0,0,57,18,21,16,5,4,15,7,24,16,2744,6,8,0,0,17,0,6,649,122,878,168,10,21,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,10
B25,1630,656,401,111,861,198,50,326,3,91,0,32,21,0,16,26,2036,6,0,409,30,13,0,121,0,1319,0,0,10,772,13,34,0,3,0,5,19,6,14,9,8,4,14,0,2000,0,0,0,0,0,0,4,559,42,569,73,7,5,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,15,0,4
D01,130,238,22,18,1884,141,0,359,0,4,0,0,0,0,95,0,6384,14,216,3,18,0,0,0,0,0,0,0,0,0,199,0,9,78,5,15,0,0,0,0,124,0,6,0,0,0,0,10,150,0,0,0,0,0,0,0,0,366,0,0,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0
D02,187,464,193,13,2472,129,0,650,0,9,0,6,0,0,139,0,7326,0,377,10,23,4,0,0,20,0,0,0,0,6,136,5,0,102,0,48,0,0,0,0,194,0,18,0,0,0,0,56,117,0,0,0,0,0,0,0,0,25,0,23,0,0,0,0,0,263,0,0,0,3,0,4,0,0,0,0,0,0
D03,150,568,270,14,2084,97,0,401,0,0,0,6,0,0,138,0,8833,0,266,0,7,0,0,0,4,0,0,0,0,0,105,0,0,82,0,61,0,0,0,0,154,0,11,0,0,0,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,0,0,0,0,0,0,0,0
D04,120,759,163,4,1721,117,0,421,0,8,0,0,0,0,153,0,5868,23,187,0,4,3,0,0,9,26,0,0,0,16,123,7,0,164,0,66,0,0,0,0,99,0,4,0,0,0,0,75,57,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,376,0,0,0,0,0,0,0,0,0,0,0,0
D05,113,833,622,46,1276,164,0,252,0,2,0,0,0,0,104,0,4690,17,155,33,8,15,0,0,2,3,0,0,0,93,101,0,0,72,9,59,0,0,0,0,78,0,3,0,0,0,0,7,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,0
D07,182,1487,1214,196,1309,172,10,336,0,4,5,0,7,0,112,0,1193,0,206,94,60,40,0,7,8,42,7,0,0,104,99,15,0,191,0,35,4,0,0,8,88,12,13,0,0,9,10,60,16,0,0,11,4,10,0,0,0,0,0,0,0,0,0,0,0,322,0,0,0,0,0,0,0,0,0,0,0,0
D08,420,3114,2460,487,2328,331,42,633,4,11,13,9,11,0,66,0,3373,70,390,146,149,25,0,8,16,148,7,0,0,213,312,28,7,43,0,114,37,3,6,19,163,6,25,12,12,10,10,122,86,6,5,12,0,29,0,0,6,3,0,3,0,0,4,0,0,607,0,0,0,14,0,22,0,0,0,0,0,0
D09,198,1915,2043,314,3402,230,6,406,0,8,6,11,26,0,137,0,5441,31,277,84,36,30,0,4,13,30,11,0,0,102,320,42,8,95,13,92,0,0,0,0,87,8,33,31,0,0,8,101,86,0,0,15,0,16,0,0,0,17,5,0,0,0,0,0,0,464,3,0,0,0,0,43,0,0,0,0,0,0
D10,288,2296,1617,1258,1424,243,22,276,0,39,15,4,27,0,75,2,751,48,247,267,73,111,44,0,23,243,0,0,17,125,152,0,0,42,21,109,7,0,0,0,163,9,64,0,10,0,14,90,18,14,0,5,0,0,0,0,4,0,4,0,0,0,0,0,0,413,16,0,0,11,0,0,0,0,0,0,0,0
D11,364,3007,2354,816,2041,254,33,380,0,25,0,28,23,0,64,0,1108,53,160,186,119,87,19,9,2,321,12,0,13,220,73,56,0,47,32,80,0,0,7,9,147,4,40,0,0,3,16,158,16,0,0,14,0,41,0,0,0,0,0,6,0,0,0,0,0,583,0,0,0,0,0,5,0,0,0,0,0,0
D12,305,3003,709,758,3424,228,14,219,0,10,10,4,0,0,61,3,1027,7,151,257,181,7,0,0,3,196,0,0,0,34,73,0,5,49,23,85,4,0,0,0,112,0,20,6,0,4,0,15,12,0,0,24,0,0,0,0,0,119,0,0,0,0,0,0,6,464,0,0,0,18,0,0,6,0,0,0,0,0
D13,231,2106,1494,1008,1598,452,19,220,0,19,0,45,27,0,51,0,2002,40,186,642,46,37,30,12,9,196,0,0,4,62,135,27,34,30,27,81,2,0,7,0,153,0,19,6,0,4,14,41,30,0,0,0,0,731,0,0,0,26,0,0,0,3,0,0,0,397,16,5,0,0,0,0,0,0,0,0,0,0
D14,274,2690,1546,1083,1909,405,23,162,0,54,0,3,55,0,59,5,1476,42,81,450,146,4,15,0,19,433,13,0,12,71,109,13,28,49,41,131,0,0,0,0,183,0,23,0,10,11,9,76,47,0,0,9,0,139,0,0,0,22,0,0,0,0,0,0,0,454,0,0,0,6,0,0,0,0,0,0,0,0
D15,334,1428,864,1107,1356,325,10,184,0,64,0,27,38,0,0,0,1129,40,98,398,745,30,36,4,3,307,0,0,5,0,63,20,18,16,0,126,0,0,22,0,135,0,21,0,0,4,50,37,40,0,0,0,0,186,0,0,0,13285,0,0,0,0,0,0,0,297,13,12,0,0,0,0,0,0,0,0,0,0
D16,1752,7296,6295,6206,3121,844,293,768,16,880,10,161,366,4,125,43,2824,45,282,1814,870,264,926,27,43,1851,5,13,57,574,455,143,64,53,227,568,4,4,63,20,336,7,208,0,129,24,124,241,25,64,0,83,0,1089,0,0,10,51,0,9,0,0,0,3,0,1455,12,0,0,0,0,9,11,0,0,0,0,0
D17,1743,3887,1749,5521,2511,836,136,521,13,55,17,119,134,0,64,29,2142,69,130,860,226,67,309,36,33,1006,0,0,57,91,94,81,14,53,79,359,0,0,47,9,136,4,120,9,589,81,113,63,104,92,0,16,0,117,0,0,6,3,0,9,0,0,5,0,0,751,0,14,3,0,0,0,0,0,0,0,0,0
D18,858,5519,1227,4435,1941,536,15,496,0,68,0,297,88,0,27,27,1268,41,106,464,169,21,209,0,67,1342,0,0,34,29,132,11,0,0,44,141,0,0,24,0,61,0,56,0,100,8,73,36,41,10,0,20,3,67,0,0,0,66,11,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0
D19,1619,4592,2797,8191,2584,527,286,766,44,49,3,136,193,0,24,32,3951,22,119,746,457,88,17,45,59,1901,13,5,21,291,217,68,11,10,45,154,7,0,57,5,134,4,135,20,587,48,65,47,53,56,0,32,0,345,24,64,9,0,0,13,0,0,21,0,0,374,0,0,0,0,0,0,0,7,0,0,0,0
D20,1399,2332,784,3850,2111,404,31,530,8,34,5,155,131,0,21,74,2349,35,79,629,241,25,43,3,41,853,0,0,14,126,94,64,7,0,39,89,8,3,39,0,201,0,86,0,647,69,51,8,20,38,0,0,0,74,0,0,15,15,3,0,0,3,8,0,0,131,0,0,0,0,0,0,0,0,0,0,0,0
D21,51,6,65,174,42,11,29,71,0,0,0,14,0,0,0,0,76,0,5,22,10,0,0,0,0,55,0,0,0,0,0,6,0,0,6,0,0,0,0,0,0,0,0,0,44,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
D22,1014,1977,1889,3055,2528,281,142,650,26,57,7,216,200,0,8,29,3333,12,30,638,237,21,76,10,55,2805,6,0,20,182,94,44,15,0,153,122,8,0,33,0,108,0,52,8,621,4,28,25,42,54,4,15,24,387,84,32,5,27,0,0,0,0,8,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0
D23,1547,2983,4157,4259,2188,260,562,738,53,69,0,190,316,0,15,14,2388,26,41,932,273,62,140,16,25,2214,21,5,49,379,91,114,8,0,120,226,42,3,26,11,116,7,31,44,347,23,17,47,69,35,0,33,42,2093,29,60,4,37,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0
D24,109,32,42,67,9,13,0,74,0,0,0,5,4,0,0,0,29,0,0,72,7,12,0,0,0,93,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,47,0,156,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D25,94,89,104,72,17,12,7,40,0,0,0,8,0,0,0,0,0,0,0,27,3,0,0,0,0,148,0,0,4,35,0,0,0,0,0,6,0,0,0,0,0,0,0,0,142,0,0,0,0,0,0,0,81,19,107,12,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
D26,131,37,106,36,12,0,0,54,0,0,0,0,3,0,0,0,4,0,0,31,0,4,0,0,0,111,0,0,0,87,0,4,0,0,7,0,0,0,0,0,0,0,0,0,239,0,0,0,0,0,0,0,82,9,248,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
E01,262,730,195,27,6076,402,0,808,0,5,8,3,0,0,107,0,11540,27,624,11,48,0,0,0,40,8,0,0,0,12,306,0,0,119,0,114,0,0,0,0,282,0,9,0,0,0,0,33,178,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,112,0,0,0,13,0,0,0,0,0,0,0,0
E02,163,460,169,12,3738,232,0,459,0,2,0,9,0,0,164,0,9359,6,455,0,38,0,0,0,5,7,0,0,0,0,172,0,0,93,0,34,0,0,0,0,231,0,0,0,0,0,0,31,132,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,158,0,0,0,0,0,0,0,0,0,0,0,0
E03,218,491,234,13,2625,112,0,532,0,2,0,7,0,0,143,0,8219,15,307,0,43,0,0,0,13,0,0,0,0,0,148,0,0,56,0,54,5,0,7,0,199,0,14,0,0,0,0,46,48,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,275,0,0,0,10,0,0,0,0,0,0,0,0
E04,216,448,374,14,2069,81,0,546,0,2,0,4,0,0,206,0,8340,19,213,0,24,5,0,3,20,9,0,0,0,14,160,9,8,80,6,56,4,0,0,0,153,0,8,0,0,0,0,50,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,0,0,0,6,0,0,0,0,0,0,0,0
E05,245,1796,1381,98,2737,252,0,413,5,10,3,10,16,0,164,0,7707,35,369,9,108,0,0,5,0,76,0,0,2,67,244,36,10,337,0,75,0,0,0,0,141,0,19,6,0,0,0,46,64,0,3,4,0,14,0,0,0,0,0,0,0,0,0,0,0,691,0,0,0,0,0,0,0,0,0,0,0,0
E06,434,2378,1786,235,3889,319,7,705,29,11,10,15,0,0,253,5,10004,32,611,29,122,8,0,29,23,27,6,0,0,126,282,13,0,384,0,107,0,3,9,2,239,7,21,0,0,0,0,31,113,0,0,0,0,12,0,0,0,0,0,3,0,0,0,0,0,714,0,0,0,0,0,0,0,0,0,0,0,0
E07,278,2536,2609,176,3016,241,0,661,8,6,8,4,4,0,190,0,6347,27,329,70,102,39,0,9,10,28,8,0,0,157,159,23,3,310,17,99,0,0,0,10,170,0,18,8,0,5,0,27,86,0,0,13,0,0,0,0,0,0,0,33,0,0,0,0,0,739,0,0,0,0,0,0,0,0,7,0,0,0
E08,499,3684,3356,501,3021,479,31,486,0,25,15,14,22,0,130,0,2135,100,471,201,236,49,0,21,44,42,4,0,10,207,493,65,0,163,15,93,22,3,0,0,248,24,96,0,0,3,12,144,112,0,0,10,0,3,0,0,0,0,5,6,0,0,0,0,0,784,0,0,0,23,0,0,0,0,0,0,0,0
E09,639,4214,5500,619,2733,451,85,689,14,17,36,53,57,0,154,0,1852,87,342,327,290,98,0,44,13,132,8,0,20,399,366,72,18,99,45,166,21,0,10,3,277,12,70,18,21,6,6,154,68,0,5,42,5,10,0,0,23,0,0,12,0,0,0,0,0,867,0,0,0,21,0,0,6,0,0,0,0,0
E10,560,3832,3209,827,2263,425,59,507,10,36,21,21,11,3,124,0,1686,46,283,257,230,51,0,34,36,167,21,0,3,199,217,74,7,76,35,118,7,0,0,7,188,2,70,3,0,9,16,152,43,6,0,20,0,9,0,0,7,3,0,0,0,0,0,0,0,742,0,0,0,0,0,0,0,0,0,0,0,0
E11,625,5445,1813,1816,1882,650,38,508,0,49,0,21,67,0,86,5,1390,83,240,377,181,13,186,24,29,977,0,0,6,126,254,108,37,41,20,159,3,0,10,20,227,0,68,7,0,0,20,188,75,0,0,26,0,359,0,0,0,46,0,0,0,0,8,0,0,706,0,0,0,15,0,0,7,0,0,0,0,0
E12,438,2994,1815,1256,846,218,51,185,24,21,0,16,60,0,7,19,372,7,92,480,104,102,27,9,10,830,4,0,24,193,39,55,5,7,26,186,21,0,16,11,120,4,34,0,35,0,6,20,15,0,0,49,0,591,0,0,4,6,0,0,0,0,16,0,0,498,0,0,0,0,0,0,0,0,0,0,0,0
E13,886,4170,2122,1723,1046,321,75,365,26,29,3,16,30,0,30,14,697,57,38,604,257,135,37,20,3,1625,0,0,41,260,123,59,20,13,33,84,2,0,4,7,82,3,87,0,41,0,78,62,26,0,0,36,8,443,0,6,0,0,0,7,0,0,20,0,0,697,0,0,0,0,0,0,0,0,0,0,0,0
E14,1049,5004,2401,3430,1480,482,95,537,31,70,26,51,84,0,74,17,790,60,107,599,348,148,42,16,28,2220,18,9,49,197,119,33,0,10,20,110,20,4,12,39,205,3,76,6,207,16,78,36,53,9,0,89,0,518,0,4,14,0,0,6,0,0,12,0,0,785,0,0,0,0,0,0,0,0,0,0,0,0
E15,659,2784,1361,2035,1198,219,188,332,28,67,6,54,44,0,25,54,1262,7,66,471,241,75,27,5,18,1867,17,3,24,301,86,29,20,6,61,176,0,0,31,7,126,11,38,6,451,14,33,16,33,0,4,16,0,254,0,6,0,8,0,0,0,0,13,19,0,391,0,0,0,0,0,0,0,0,0,0,0,0
E16,599,1897,1450,1573,774,98,123,244,28,67,0,80,85,0,0,27,1491,0,13,547,108,34,19,3,24,1806,10,0,18,317,64,37,0,48,38,273,28,26,0,0,64,5,24,5,86,9,0,13,28,0,5,23,9,162,0,5,0,16,0,0,0,0,17,85,0,112,0,0,0,0,0,0,0,0,0,0,0,0
E17,1041,3311,3054,2222,1477,346,177,538,55,123,9,109,149,0,41,53,2541,32,110,813,233,96,30,19,25,2850,6,16,43,384,137,84,30,43,68,287,9,5,39,60,190,12,70,0,340,15,40,47,53,27,0,51,8,306,0,4,4,3,0,0,0,6,20,83,7,622,0,0,0,3,0,0,0,0,0,0,0,0
E18,729,3591,1624,4232,1788,253,94,611,9,174,0,131,195,0,17,49,3380,49,21,667,185,67,8,34,77,1889,5,0,13,379,96,28,8,0,114,103,16,59,20,5,93,6,32,18,857,6,17,7,49,15,0,38,10,259,12,16,0,0,0,0,0,0,0,87,0,63,0,0,5,0,0,0,0,0,0,4,0,0
E19,942,3106,955,1001,1383,104,86,453,14,103,0,122,179,0,9,52,1949,24,31,633,146,29,53,8,34,3060,8,0,32,321,28,44,0,0,111,52,2,11,13,10,116,12,18,0,258,0,0,10,60,19,3,20,7,228,0,51,0,34,0,0,0,0,4,39,0,79,0,0,3,0,0,0,0,0,0,0,0,0
E20,996,3685,1393,1310,1430,89,133,584,0,130,3,134,188,0,10,35,2434,20,73,751,165,85,9,26,72,3136,14,15,21,538,81,63,0,0,35,77,0,0,5,0,87,0,19,0,202,0,0,6,51,20,5,30,37,291,9,22,3,7,5,0,0,0,10,92,0,63,0,0,0,0,0,0,0,0,0,0,0,0
E21,853,1337,379,614,913,116,3,413,9,43,0,120,98,0,3,60,3795,33,0,455,94,23,25,4,13,2497,0,0,36,347,34,70,25,0,30,29,0,0,2,0,31,5,30,0,763,18,16,0,33,50,0,18,28,180,60,38,0,8,0,0,0,0,0,13,0,20,0,0,0,0,0,0,0,0,0,0,0,0
