index,Bacteria;Chloroflexi,Bacteria;Planctomycetota,Archaea;Nanoarchaeota,Bacteria;Patescibacteria,Bacteria;Proteobacteria,Bacteria;Actinobacteriota,Archaea;Aenigmarchaeota,Bacteria;Acidobacteriota,Archaea;Altiarchaeota,Bacteria;Firmicutes,Bacteria;Bdellovibrionota,Bacteria;Dependentiae,Bacteria;Spirochaetota,Bacteria;Margulisbacteria,Bacteria;Myxococcota,Archaea;Halobacterota,Archaea;Crenarchaeota,Bacteria;Latescibacterota,Bacteria;NB1-j,Bacteria;Desulfobacterota,Bacteria;Verrucomicrobiota,Archaea;Iainarchaeota,Bacteria;DTB120,Bacteria;Elusimicrobiota,Eukaryota;SAR,Archaea;Asgardarchaeota,Archaea;Euryarchaeota,Bacteria;CK-2C2-2,Bacteria;Sva0485,Archaea;Thermoplasmatota,Bacteria;Bacteroidota,Bacteria;Marinimicrobia (SAR406 clade),Bacteria;MBNT15,Bacteria;Nitrospinota,Bacteria;Zixibacteria,Bacteria;Nitrospirota,Archaea;Micrarchaeota,Bacteria;LCP-89,Bacteria;Armatimonadota,Bacteria;WOR-1,Bacteria;Gemmatimonadota,Bacteria;Fibrobacterota,Bacteria;Calditrichota,Bacteria;Sumerlaeota,Bacteria;Aerophobota,Bacteria;WS1,Bacteria;NKB15,Bacteria;SAR324 clade(Marine group B),Bacteria;Dadabacteria,Bacteria;BHI80-139,Bacteria;Desantisbacteria,Bacteria;Schekmanbacteria,Archaea;Hadarchaeota,Archaea;Hydrothermarchaeota,Bacteria;Caldatribacteriota,Bacteria;TA06,Bacteria;WS2,Eukaryota;Amorphea,Bacteria;Cyanobacteria,Bacteria;Hydrogenedentes,Bacteria;Cloacimonadota,Bacteria;WPS-2,Bacteria;Modulibacteria,Eukaryota;Archaeplastida,Bacteria;10bav-F6,Bacteria;Methylomirabilota,Bacteria;Deferrisomatota,Bacteria;Fusobacteriota,Bacteria;Fermentibacterota,Bacteria;Entotheonellaeota,Eukaryota;Discoba,Bacteria;Campylobacterota,Bacteria;PAUC34f,Bacteria;Poribacteria,Bacteria;AncK6,Bacteria;GN01,Bacteria;Acetothermia,Bacteria;FCPU426
H2_3,643,3312,2192,2416,1390,441,46,220,0,75,0,53,50,0,46,10,1015,35,33,331,185,68,0,9,46,1022,7,4,18,155,154,23,0,12,34,144,0,0,0,16,110,0,62,3,54,0,18,81,18,14,0,22,0,431,0,5,4,0,0,0,0,0,0,4,0,293,0,0,0,0,0,0,0,0,0,0,0,0
H2_4,878,2203,1099,3076,1731,319,38,208,12,140,0,90,106,0,4,47,1417,8,0,390,172,31,52,0,22,2057,5,0,27,201,73,18,14,18,78,89,6,0,21,0,75,4,17,11,239,23,9,22,39,6,0,25,0,124,0,6,0,0,0,0,0,0,0,3,0,104,0,0,0,3,0,0,0,0,0,0,0,0
H2_5,1518,1483,1223,1942,3226,202,69,705,11,397,0,160,124,0,20,16,2659,22,23,606,78,35,10,18,47,4708,21,0,48,590,78,28,0,7,68,72,24,15,5,19,12,0,8,9,3584,12,9,3,19,62,0,15,209,147,1200,125,15,37,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
H2_6,2524,1072,696,872,1913,154,62,501,50,266,0,47,72,0,0,12,1734,14,0,704,115,17,0,60,6,2768,18,0,10,1047,64,40,0,0,33,21,6,24,22,35,7,10,20,0,2060,6,0,4,2,11,0,0,288,47,1435,103,0,5,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,3,0
I1_1,263,881,510,55,2545,175,0,478,0,5,6,3,0,0,234,0,9319,0,376,29,8,0,0,0,34,28,0,0,0,9,198,20,0,150,6,106,0,0,0,0,174,0,13,0,0,0,0,14,120,0,0,0,0,0,0,0,0,35,0,0,0,0,0,0,0,382,0,0,0,10,0,0,0,0,0,0,0,0
I1_2,758,5043,3800,1343,2845,523,57,669,18,48,0,60,89,0,104,3,2663,51,399,356,217,79,17,5,102,489,18,0,26,325,302,78,0,46,53,171,8,2,3,0,256,0,53,0,0,0,48,193,93,0,0,34,4,252,0,0,0,0,0,34,0,0,0,0,0,717,0,0,0,20,0,0,0,0,4,0,0,0
I1_3,1468,3880,1400,5189,2713,612,59,360,44,256,3,149,98,0,54,34,2358,26,106,624,319,6,10,5,168,1578,7,0,34,101,127,24,0,10,97,84,0,0,10,10,91,0,32,12,218,16,106,46,51,11,0,44,0,70,8,0,5,7,3,0,0,3,0,0,5,371,0,0,0,0,0,0,4,0,0,0,0,0
I1_4,1562,3357,1418,4702,4975,485,39,494,10,451,3,193,195,0,56,69,2693,23,43,739,285,31,51,16,249,3681,5,5,37,107,131,16,0,0,241,53,10,0,25,0,78,4,80,0,443,30,58,0,39,25,7,59,14,43,10,14,18,27,10,0,0,0,0,6,0,46,0,0,0,0,0,0,0,0,0,0,0,0
I1_5,558,2048,764,1464,2983,206,82,303,12,237,0,210,158,0,19,27,2177,6,0,610,85,72,41,16,66,3048,8,0,40,323,65,11,0,4,70,90,4,16,0,0,0,3,9,9,852,0,0,5,8,0,6,12,115,27,123,57,0,21,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0
I1_6,712,1984,1549,1505,2509,144,212,359,17,224,0,151,159,0,24,12,3190,13,17,670,144,115,0,60,51,4337,21,0,24,819,98,36,0,6,4,15,0,9,6,14,5,11,9,4,1173,3,13,4,5,36,0,9,162,21,299,84,0,36,4,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0
N01,228,542,88,14,2832,245,0,659,0,0,0,3,5,0,68,0,8030,11,380,18,16,0,0,0,17,12,0,0,0,0,213,0,5,83,0,82,0,0,0,0,158,0,12,0,0,0,0,56,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0
N02,71,443,108,5,2054,95,0,457,0,0,3,0,0,0,24,0,7085,0,279,0,60,0,0,0,0,0,0,0,0,7,125,0,0,45,0,20,0,0,0,0,146,3,8,0,0,0,0,0,49,0,0,0,0,0,0,0,0,4,0,15,0,0,0,0,0,119,0,0,0,18,0,0,0,0,0,0,0,0
N03,208,370,265,0,2036,96,0,333,0,5,0,18,0,0,129,0,9923,0,306,0,4,0,0,0,8,0,4,0,0,0,163,0,0,95,0,67,0,0,0,0,151,0,16,3,5,0,0,37,114,0,0,0,0,0,0,0,0,136,0,0,0,0,0,0,0,276,0,0,0,0,0,0,0,0,0,0,0,0
N04,144,694,603,20,1724,106,0,457,0,14,0,0,0,0,182,0,7816,8,109,0,31,7,0,3,5,0,0,0,0,52,180,11,0,208,0,43,0,0,0,0,109,0,6,0,0,3,0,68,74,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0
N05,208,1768,1766,94,1950,102,0,422,0,5,4,7,11,0,170,0,7337,29,265,32,121,16,0,7,0,43,7,0,0,168,155,10,9,215,0,102,0,0,6,12,70,4,5,6,0,0,0,79,83,0,0,5,0,0,0,0,0,0,0,13,0,0,0,0,0,489,0,0,0,0,0,0,0,0,0,0,0,0
N06,246,1966,1930,260,1769,173,2,385,0,0,10,15,5,0,106,2,2349,31,354,84,72,51,0,5,14,37,21,0,0,288,166,14,22,61,19,79,0,0,0,14,87,8,13,0,7,0,0,118,54,0,0,0,0,6,0,0,0,0,0,11,0,0,0,0,0,684,0,0,0,0,0,0,0,0,0,0,0,0
N07,133,1998,1423,292,1565,231,9,277,4,4,3,2,16,0,69,0,1335,3,245,136,22,26,0,4,0,29,3,0,3,224,89,11,0,16,20,65,2,0,0,5,105,0,32,0,5,4,0,37,23,0,0,0,0,0,0,0,0,6,0,8,0,0,0,0,0,472,0,0,0,0,0,0,4,0,0,0,0,0
N08,265,1924,1511,439,1061,205,11,323,5,4,0,8,0,0,58,0,1529,10,146,85,57,10,0,12,0,39,13,0,0,261,100,63,0,63,21,48,0,0,0,8,125,6,4,0,0,3,0,67,12,0,0,10,0,11,0,0,0,0,0,0,0,0,0,0,0,438,0,0,0,14,0,0,0,0,0,0,0,0
N09,246,2098,1453,799,621,161,41,199,14,12,0,9,13,0,37,7,940,9,112,302,57,17,6,0,0,518,12,0,11,218,37,14,0,0,2,94,0,0,0,0,171,0,0,0,71,0,0,32,31,0,0,23,0,261,0,7,0,31,0,16,0,2,0,0,0,255,0,0,0,0,0,0,0,0,0,0,0,0
N10,878,2035,933,2917,999,277,57,319,17,81,0,19,99,0,36,22,1115,62,72,628,112,32,66,0,23,598,0,0,16,238,96,10,20,8,9,136,5,6,24,6,154,0,42,0,116,8,19,31,15,13,0,13,4,6,0,28,4,0,0,18,0,0,5,0,0,102,7,0,0,0,0,0,0,0,0,0,0,0
N11,890,2213,1234,2190,1094,250,56,520,18,71,4,97,144,0,21,33,2212,18,78,780,154,101,52,19,36,1094,3,2,16,414,68,17,0,15,27,152,28,0,0,26,161,0,44,0,191,12,16,18,23,13,0,17,19,114,7,8,0,14,0,0,0,0,4,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0
N12,610,1474,694,1868,1635,162,57,317,18,55,0,46,80,0,8,26,2788,42,109,424,89,17,7,5,89,707,0,0,19,218,63,24,9,35,14,56,0,0,14,23,49,0,3,0,104,4,9,0,52,20,0,11,13,0,3,9,8,3,4,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0
N13,308,1018,987,1038,1665,139,121,630,9,84,0,133,153,0,19,13,3215,13,90,533,134,137,0,0,65,854,0,3,33,270,59,16,12,30,28,83,0,0,11,0,48,5,12,0,123,0,15,17,85,0,0,0,80,93,14,0,8,12,0,0,0,0,0,0,0,36,0,0,0,4,3,0,0,0,0,0,0,0
N14,506,1870,2266,1581,835,78,484,733,8,80,0,60,155,0,6,9,1281,28,16,788,297,173,15,55,3,1508,27,0,24,832,32,82,0,0,64,65,16,8,0,11,30,0,11,0,194,4,0,14,5,34,3,0,203,151,45,17,6,72,0,0,0,8,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0
N15,722,1093,951,645,1046,134,73,651,13,50,0,156,128,0,13,18,2428,0,43,458,76,45,26,31,4,1354,8,0,27,369,13,50,0,16,35,33,20,21,0,0,63,0,22,0,237,0,8,0,23,20,0,5,76,61,43,10,3,24,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0
N16,569,1329,1216,1281,931,75,124,549,12,90,0,115,192,0,9,7,2534,3,21,647,197,133,16,75,18,2496,20,0,44,1212,38,42,0,0,17,37,25,12,15,13,13,0,16,24,623,0,0,0,10,36,0,0,164,53,119,23,5,18,0,0,0,0,0,0,0,47,0,0,2,0,0,0,0,0,0,0,0,0
N18,628,919,1081,1223,1017,133,110,474,7,119,0,89,184,0,15,5,1409,0,0,506,109,58,110,37,27,1666,33,0,32,338,49,58,0,0,6,30,2,0,22,0,25,0,0,0,361,6,0,0,0,0,0,4,202,64,101,8,7,14,0,0,0,0,0,17,6,18,0,0,11,0,0,0,0,0,0,0,0,0
N19,494,1719,1011,1506,974,114,173,550,4,109,0,47,173,0,16,37,1498,16,13,667,172,180,30,32,22,2175,7,0,20,810,174,50,0,0,83,45,2,28,0,3,38,0,8,9,827,14,0,0,6,42,2,3,74,24,255,0,16,112,0,0,6,0,0,3,0,25,0,0,4,0,0,0,0,0,0,0,0,0
N20,621,1205,547,718,696,70,116,475,13,72,0,50,101,0,0,5,1694,0,0,424,45,36,10,42,14,1559,0,0,17,848,7,51,0,0,39,21,10,5,4,7,28,5,0,11,723,0,0,0,10,40,0,0,108,57,233,33,0,38,0,0,0,0,0,0,3,30,0,0,3,0,0,0,0,0,0,0,0,0
