"","F01","F02","F03","F04","F05","F06","H2-1","H2-2","H2-3","H2-4","H2-5","H2-6","I1-1","I1-2","I1-3","I1-4","I1-5","I1-6","B01","B02","B03","B04","B05","B06","B07","B08","B09","B10","B11","B12","B13","B14","B15","B16","B18","B19","B20","B21","B22","B23","B24","B25","E01","E02","E03","E04","E05","E06","E07","E08","E09","E10","E11","E12","E13","E14","E15","E16","E17","E18","E19","E20","E21","E22","E23","E24","E25","N01","N02","N03","N04","N05","N06","N07","N08","N09","N10","N11","N12","N13","N14","N15","N16","N18","N19","N20","D01","D02","D03","D04","D05","D07","D08","D09","D10","D11","D12","D13","D14","D15","D16","D17","D18","D19","D20","D22","D23"
"Bacteria",0.438068034276811,0.66138665281745,0.76097117631784,0.672812256556738,0.597766813814594,0.624253440664762,0.425863412100753,0.624902622695404,0.672942092962867,0.666709945468709,0.634510516748896,0.644378083614646,0.378992469488445,0.655544014541677,0.742923915866009,0.697091664502727,0.603219942871981,0.491171124383277,0.676058166709945,0.426642430537523,0.307582446117891,0.374967540898468,0.40872500649182,0.459880550506362,0.461438587379901,0.418852246169826,0.686834588418593,0.547390288236822,0.624253440664762,0.532848610750454,0.713061542456505,0.606595689431317,0.678784731238639,0.649182030641392,0.673721111399636,0.577901843676967,0.590236302259153,0.644378083614646,0.604128797714879,0.607244871461958,0.608153726304856,0.57842118930148,0.46754089846793,0.400025967281226,0.387172163074526,0.352376006232147,0.468190080498572,0.48338094001558,0.512464294988315,0.676188003116074,0.61918982082576,0.666969618280966,0.755518047260452,0.674889639054791,0.673201765775123,0.705271358088808,0.641521682679823,0.557128018696442,0.574915606336017,0.644248247208517,0.579719553362763,0.563490002596728,0.469618280965983,0.52713580888081,0.538950921838483,0.530122046221761,0.538821085432355,0.425084393663983,0.359387172163075,0.30238898987276,0.347182549987016,0.402363022591535,0.584653336795637,0.651778758763957,0.621916385354453,0.612957673331602,0.764866268501688,0.639184627369514,0.622046221760582,0.535055829654635,0.527395481693067,0.530251882627889,0.477538301739808,0.54829914307972,0.566086730719294,0.53245910153207,0.358348480914048,0.417943391326928,0.326408725006492,0.427940794598806,0.403921059465074,0.662035834848091,0.60334977927811,0.519345624513114,0.729420929628668,0.66969618280966,0.814983121267203,0.628148532848611,0.688652298104388,0.300701116593093,0.697481173721111,0.786938457543495,0.790833549727344,0.685925733575695,0.760321994287198,0.579589716956635,0.56634640353155
"Archaea",0.560893274474163,0.33861334718255,0.237860296027006,0.323292651259413,0.399506621656713,0.374188522461698,0.572968060244092,0.373149831212672,0.323811996883926,0.332121526876136,0.363412100753051,0.35523240716697,0.616463256297066,0.339652038431576,0.24811737211114,0.293560114256037,0.391716437289016,0.505712801869644,0.308880810179174,0.573097896650221,0.691898208257595,0.623993767852506,0.590885484289795,0.539859776681381,0.537133212152688,0.581017917424046,0.308750973773046,0.451441184108024,0.37483770449234,0.466761880031161,0.285120747857699,0.393404310568683,0.317190340171384,0.347701895611529,0.321864450792002,0.417553882108543,0.407037133212153,0.35367437029343,0.391067255258374,0.387172163074526,0.390028564009348,0.421059465074007,0.528823682160478,0.59802648662685,0.609452090366139,0.646715138924955,0.531809919501428,0.516229550766035,0.487016359387172,0.320825759542976,0.380290833549727,0.330693326408725,0.241625551804726,0.32355232407167,0.326798234224877,0.293689950662166,0.356011425603739,0.433523760062321,0.419501428200467,0.348221241236043,0.413399117112438,0.426772266943651,0.528304336535965,0.466112698000519,0.455985458322514,0.467670734874059,0.461049078161516,0.573487405868606,0.640223318618541,0.68397818748377,0.652427940794599,0.597636977408465,0.413528953518567,0.347701895611529,0.378083614645547,0.384315762139704,0.232796676188003,0.358088808101792,0.37029343027785,0.460140223318619,0.467021552843417,0.468190080498572,0.520254479356011,0.446377564269021,0.424045702414957,0.463126460659569,0.608023889898728,0.578940534925993,0.67346143858738,0.570760841339912,0.595949104128798,0.336535964684498,0.396001038691249,0.478966502207219,0.268242015061023,0.330173980784212,0.174110620618021,0.370033757465593,0.306284082056609,0.109841599584523,0.300701116593093,0.211503505582965,0.200337574655934,0.312386393144638,0.236951441184108,0.41703453648403,0.431446377564269
"Eukaryota",0.00103869124902623,0,0.00116852765515451,0.00389509218384835,0.00272656452869385,0.00155803687353934,0.00116852765515451,0.00194754609192418,0.00324591015320696,0.00116852765515451,0.00207738249805245,0.000389509218384835,0.00454427421448974,0.0048039470267463,0.00895871202285121,0.00934822124123604,0.00506361983900286,0.00311607374707868,0.0150610231108803,0.000259672812256557,0.000519345624513113,0.00103869124902623,0.000389509218384835,0.000259672812256557,0.00142820046741106,0.000129836406128278,0.00441443780836146,0.00116852765515451,0.000908854842897949,0.000389509218384835,0.0018177096857959,0,0.00402492858997663,0.00311607374707868,0.00441443780836146,0.00454427421448974,0.00272656452869385,0.00194754609192418,0.0048039470267463,0.00558296546351597,0.0018177096857959,0.000519345624513113,0.00363541937159179,0.00194754609192418,0.00337574655933524,0.000908854842897949,0,0.000389509218384835,0.000519345624513113,0.0029862373409504,0.000519345624513113,0.00233705531030901,0.00285640093482212,0.00155803687353934,0,0.00103869124902623,0.00246689171643729,0.00934822124123604,0.00558296546351597,0.00753051155544015,0.00688132952479875,0.00973773045962088,0.00207738249805245,0.00675149311867048,0.00506361983900286,0.00220721890418073,0.000129836406128278,0.00142820046741106,0.000389509218384835,0.0136328226434692,0.000389509218384835,0,0.0018177096857959,0.000519345624513113,0,0.00272656452869385,0.00233705531030901,0.00272656452869385,0.00766034796156842,0.0048039470267463,0.00558296546351597,0.00155803687353934,0.00220721890418073,0.00532329265125941,0.00986756686574916,0.00441443780836146,0.0336276291872241,0.00311607374707868,0.000129836406128278,0.00129836406128278,0.000129836406128278,0.00142820046741106,0.000649182030641392,0.00168787327966762,0.00233705531030901,0.000129836406128278,0.0109062581147754,0.0018177096857959,0.00506361983900286,0.589457283822384,0.0018177096857959,0.00155803687353934,0.00882887561672293,0.00168787327966762,0.00272656452869385,0.00337574655933524,0.00220721890418073
