Id,Label,timeset,att1,att2,att3,isometric_z_value,splitter_z_value,eigencentrality,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,modularity_class
96,Asgardarchaeota,,be5f6784ef1c13aacfab8b5ca8e583e3,Asgardarchaeota,M1,0,0,0.136706,21,16.190766,9,0.278774,0.344521,198.379465,1,0.633333,133,21
97,Crenarchaeota,,0ddcd056b7f296770487920a01cb7f8c,Crenarchaeota,M1,0,0,0.220288,33,26.295054,9,0.30449,0.391438,6470.373298,1,0.441288,233,21
98,Proteobacteria,,430d9115ca79bad01227bcc9c7694cf1,Proteobacteria,M6,0,0,0.002965,5,4.088714,12,0.160776,0.183118,185.5,1,0.7,7,22
99,Planctomycetota,,7b0d328eb2b6f2dba66f1d2e35530a4c,Planctomycetota,M4,0,0,0.007586,3,2.167593,11,0.198933,0.232783,0,1,1,3,29
100,Asgardarchaeota,,ca00b1966676da712854d59b325a8883,Asgardarchaeota,M23,0,0,0.000347,1,0.743949,1,1,1,0,17,0,0,9
101,Patescibacteria,,45cc2f6d0eb94f541d11c882ad3a00c7,Patescibacteria,M3,0,0,0.000498,1,0.730933,13,0.108493,0.120539,0,1,0,0,24
102,Aerophobota,,56f231589efa7fbdf8e7f0b0ca8d7a64,Aerophobota,M1,0,0,0.003248,2,1.603069,13,0.154708,0.187282,0,1,1,1,16
103,Crenarchaeota,,3e4b3087cab0f96c15fc5ba4d1901d23,Crenarchaeota,M1,0,0,0.249864,24,18.378927,11,0.229115,0.309612,878.118203,1,0.623188,172,16
104,Chloroflexi,,40a9ed64cac397b2edbfe239e18af393,Chloroflexi,M1,0,0,0.052996,9,6.826743,9,0.248833,0.294109,13.2036,1,0.638889,23,21
105,Nanoarchaeota,,a04961927d939364657c46adc10b58a6,Nanoarchaeota,M14,0,0,0.000439,1,0.834682,2,0.6,0.666667,0,9,0,0,2
106,Acidobacteriota,,f4a850af2c71102847a736707e0afeaf,Acidobacteriota,M7,0,0,0.000994,2,1.492057,14,0.125462,0.144478,0,1,1,1,6
107,Actinobacteriota,,5c250552e111307950b6241236e191f7,Actinobacteriota,M4,0,0,0.016051,8,6.199665,11,0.199359,0.239262,6.501896,1,0.964286,27,29
108,Firmicutes,,6f2d2cfc4740062335b7ac02547a61c3,Firmicutes,M6,0,0,0.002965,5,3.907876,12,0.160776,0.183118,185.5,1,0.7,7,22
109,Hydrothermarchaeota,,6954776b889693b8d1a3d596c679fbec,Hydrothermarchaeota,M3,0,0,0.001192,2,1.512969,11,0.13774,0.15799,1092,1,0,0,24
110,Nanoarchaeota,,d047403aa45210a5442c0b27bfc366dc,Nanoarchaeota,M3,0,0,0.00105,2,1.492618,11,0.137284,0.155398,372,1,0,0,24
