Id,Label,timeset,att1,att2,att3,isometric_z_value,splitter_z_value,eigencentrality,degree,weighted degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,clustering,triangles,modularity_class
208,Proteobacteria,,5570716677a89020deeeb30943202fb8,Proteobacteria,M2,0,0,0.773189,42,32.713302,9,0.261571,0.365445,1304.998096,1,0.590012,508,14
209,Actinobacteriota,,7b3f2d0fe940a7274e4a10e684f722a7,Actinobacteriota,M7,0,0,0.002685,4,3.06449,13,0.143296,0.172621,613.166667,1,0.333333,2,6
210,Firmicutes,,aed13b63842fab9f03472e6ca81f64a9,Firmicutes,M6,0,0,0.001171,2,1.514722,13,0.13861,0.152526,0,1,1,1,22
211,Planctomycetota,,67a13b1194c1b56abd03ebecb9bed511,Planctomycetota,M4,0,0,0.018569,11,8.505522,11,0.199786,0.243731,772.891094,1,0.709091,39,29
212,Patescibacteria,,b91a246fd126d7a7aa93834b709e2cc8,Patescibacteria,M13,0,0,0.000393,1,0.763806,3,0.5,0.611111,0,8,0,0,28
213,Crenarchaeota,,826a16cc740a5449fbf4e1c87516d9f0,Crenarchaeota,M2,0,0,0.532564,33,26.092251,10,0.233709,0.328736,258.338828,1,0.613636,324,14
214,Patescibacteria,,f21bd65dced61f4db37b0c66f581b1d1,Patescibacteria,M3,0,0,0.000411,1,0.743216,12,0.120751,0.13201,0,1,0,0,24
215,Methylomirabilota,,d62ab321b324b106e11961e79384f974,Methylomirabilota,M1,0,0,0.137035,22,17.006454,10,0.260839,0.33737,4430.467145,1,0.428571,99,21
216,Asgardarchaeota,,cbcdb4e55f0caea3e81a254eb92d8425,Asgardarchaeota,M1,0,0,0.084213,12,9.118619,9,0.252197,0.303091,22.162826,1,0.787879,52,21
217,Nitrospinota,,aadfe5d6e146124decb4b731be963c56,Nitrospinota,M2,0,0,0.854056,48,38.152125,9,0.275074,0.383165,1421.450164,1,0.528369,596,14
218,Asgardarchaeota,,b5edcefd9280528ee377cb70dea8a6a7,Asgardarchaeota,M1,0,0,0.081507,9,6.867203,9,0.269899,0.325001,9.583138,1,0.944444,34,21
219,Caldatribacteriota,,0891745100938646881ac9ef7c6e4382,Caldatribacteriota,M1,0,0,0.338679,37,29.83578,11,0.224699,0.323719,1837.15055,1,0.518018,345,16
220,Planctomycetota,,78305c3f5955043aba7de952c78859c9,Planctomycetota,M1,0,0,0.184696,28,21.998767,9,0.29232,0.368918,1002.124411,1,0.526455,199,21
221,Crenarchaeota,,661fb98aef87b6af4ee1141ebab047bd,Crenarchaeota,M2,0,0,0.43414,20,15.431231,9,0.251517,0.325633,22.284567,1,0.915789,174,14
222,Acidobacteriota,,8d20835e20ebe12cb3a6c27450b7bdf9,Acidobacteriota,M2,0,0,0.323955,15,11.243791,9,0.263977,0.328876,51.029141,1,0.828571,87,14
223,Chloroflexi,,8e86728a65f7d63ff2bef10522c9876d,Chloroflexi,M1,0,0,0.229531,24,18.630799,11,0.222024,0.304774,1498.321951,1,0.576087,159,16
224,Spirochaetota,,5287c8041eced469fde54998dc98d391,Spirochaetota,M1,0,0,0.103983,11,8.308034,10,0.245556,0.300577,17.66262,1,0.836364,46,21
225,Proteobacteria,,2fc5b9882c68722bdc9d2b21d26e0711,Proteobacteria,M8,0,0,0.00265,2,1.46969,12,0.164028,0.195631,372,1,0,0,31
226,Planctomycetota,,5e89ee815c20882c6ea1e4fe3d70b8ea,Planctomycetota,M9,0,0,0.000445,1,0.772825,4,0.4,0.486111,0,19,0,0,32
227,Chloroflexi,,6aed875f65dd83949334a61669c0f0f9,Chloroflexi,M3,0,0,0.001708,3,2.238594,9,0.180717,0.201808,191.728184,1,0.333333,1,24
228,Proteobacteria,,8084e1cd2296dd2ee6ee18c3c0143e61,Proteobacteria,M4,0,0,0.006681,6,4.46642,11,0.199572,0.236805,398.191171,1,0.466667,7,29
229,NB1-j,,40d7d991282825d964bf7d09ddc0f18e,NB1-j,M4,0,0,0.000836,1,0.729492,12,0.171415,0.191659,0,1,0,0,29
230,Proteobacteria,,5d5dd90c2ed992042ae2d57727f77726,Proteobacteria,M6,0,0,0.003482,4,3.011744,11,0.190403,0.218242,0,1,1,6,22
231,Planctomycetota,,8c6de1e97684d3ace8c9069dd6fd6fb0,Planctomycetota,M37,0,0,0.000347,1,0.725949,1,1,1,0,24,0,0,20
232,Patescibacteria,,2d088686841e674cb40c6979529f8456,Patescibacteria,M1,0,0,0.008908,1,0.748604,12,0.1865,0.221781,0,1,0,0,16
233,Nitrospinota,,1d6be46c2e2d387bd12b1bafea72e503,Nitrospinota,M4,0,0,0.000415,1,0.752139,13,0.146504,0.159711,0,1,0,0,29
234,Proteobacteria,,1c9f92882fe5e7e846593a1e2dbcd5b1,Proteobacteria,M2,0,0,0.871753,48,37.770315,9,0.27753,0.385087,3070.069802,1,0.537234,606,14
235,Proteobacteria,,d310b3627f449a4d460d65facd96f999,Proteobacteria,M6,0,0,0.004371,6,4.699112,11,0.19089,0.22204,657.272683,1,0.6,9,22
236,Proteobacteria,,fed7c4fc2f93c7b17d09a50e9a757cc7,Proteobacteria,M6,0,0,0.012826,8,6.130286,10,0.233856,0.280284,3646.430173,1,0.392857,11,22
237,Aerophobota,,c87a3f459c63e3f74401c9a686b64d33,Aerophobota,M1,0,0,0.124209,17,13.421895,12,0.196316,0.27205,233.943266,1,0.566176,77,16
238,Crenarchaeota,,937db06ca2beab5233de14c5e1bde264,Crenarchaeota,M2,0,0,0.015203,2,1.507194,11,0.188099,0.226459,0,1,1,1,14
239,Spirochaetota,,009e6c7b3ae36605706cceed34eca3e6,Spirochaetota,M1,0,0,0.24646,28,22.035428,10,0.272462,0.356851,1369.42491,1,0.537037,203,21
240,Thermoplasmatota,,449b36422073c6203e0c4ac620bbfc9c,Thermoplasmatota,M1,0,0,0.015024,10,8.031832,13,0.159266,0.208395,33.382909,1,0.555556,25,16
241,Proteobacteria,,2a1d71d9fca92f9b3fc8f3126db076d0,Proteobacteria,M6,0,0,0.006485,10,7.965565,11,0.191282,0.227402,413.786915,1,0.333333,15,22
242,Asgardarchaeota,,0f1be1121dd04bc63b5ec4be0efc09b8,Asgardarchaeota,M3,0,0,0.012632,10,7.544322,7,0.249665,0.286787,3561.288933,1,0.222222,10,24
243,Actinobacteriota,,aa624cf1b7d36c8eec683c27df7d3556,Actinobacteriota,M1,0,0,0.356857,33,26.914119,11,0.232689,0.327262,449.759658,1,0.689394,364,16
244,Desulfobacterota,,3223db8ad52445e94b56dfb4af966919,Desulfobacterota,M4,0,0,0.010464,7,5.369823,12,0.176526,0.213751,12,1,0.761905,16,29
245,Spirochaetota,,075a3a11a7ce940fa98718b18d89b3a4,Spirochaetota,M1,0,0,0.035022,6,4.471513,9,0.24459,0.286315,1476,1,0.666667,10,21
246,Crenarchaeota,,25f855be36a1abc8a363392ddb4f23fb,Crenarchaeota,M8,0,0,0.006435,4,3.068799,12,0.165117,0.201932,8.465261,1,0.666667,4,31
247,Crenarchaeota,,cc957f2e853493d72875a6528ca83435,Crenarchaeota,M2,0,0,0.505485,29,22.720764,9,0.269899,0.352979,401.413623,1,0.667488,271,14
248,NB1-j,,a7b21ce117812085170d5562102da388,NB1-j,M2,0,0,0.00676,1,0.722335,11,0.179759,0.21466,0,1,0,0,14
249,Patescibacteria,,1be7b02857549471b14edc846f88a435,Patescibacteria,M5,0,0,0.003912,7,5.831111,5,0.34375,0.513636,48,2,0.52381,11,10
250,NB1-j,,40b2ccb7580291b18e9cd735cbd34928,NB1-j,M2,0,0,0.026338,1,0.722352,10,0.209315,0.253742,0,1,0,0,14
251,Chloroflexi,,074ec36dd5e51c4e327747ea68a7427d,Chloroflexi,M1,0,0,0.028532,12,9.734146,13,0.167565,0.229035,31.149917,1,0.530303,35,16
252,Patescibacteria,,c2e454a816ec8889ae71981d210ddb0e,Patescibacteria,M5,0,0,0.00192,3,2.318423,6,0.30137,0.410606,0,2,1,3,10
253,Aenigmarchaeota,,335f4d0fadc4230724856ede0476ca71,Aenigmarchaeota,M19,0,0,0.000347,1,0.734931,1,1,1,0,7,0,0,11
254,Nanoarchaeota,,26e55b90470fe3531d19d930d7c32637,Nanoarchaeota,M38,0,0,0.000347,1,0.726218,1,1,1,0,25,0,0,26
255,Hadarchaeota,,7988d3122c239af3302a7c07d48ecf6d,Hadarchaeota,M1,0,0,0.019168,10,7.822228,13,0.166518,0.221216,315.971101,1,0.288889,13,16
256,Thermoplasmatota,,7bdf315a34d442ae5002cf52de267c99,Thermoplasmatota,M1,0,0,0.017558,3,2.240611,13,0.166518,0.213575,372,1,0.333333,1,16
257,Proteobacteria,,68dcf15cf72d664988dfa199c25a10c5,Proteobacteria,M1,0,0,0.182602,30,23.213661,9,0.297448,0.378212,5732.713257,1,0.429885,187,21
258,Hydrothermarchaeota,,adf79620bb7ff456d897aac5ed745243,Hydrothermarchaeota,M3,0,0,0.002032,5,3.772488,12,0.121776,0.143404,1484,1,0,0,24
259,Proteobacteria,,7170ce6c7520acc3c13189478aea54a8,Proteobacteria,M2,0,0,0.380238,18,13.579706,9,0.266049,0.336472,425.31963,1,0.738562,113,14
260,Aerophobota,,f97b2db2de8f3fac6e1ec6b237a0cd04,Aerophobota,M1,0,0,0.035151,6,4.542981,12,0.18678,0.242939,207.105167,1,0.533333,8,16
261,Aerophobota,,a1b201a7d806843acb19c5b31fb669b6,Aerophobota,M25,0,0,0.000347,1,0.7503,1,1,1,0,26,0,0,36
262,TA06,,488d71899cf5900d9d98c4fc0b3331a1,TA06,M1,0,0,0.211572,21,16.674436,12,0.196213,0.274954,25.744683,1,0.733333,154,16
263,Actinobacteriota,,ba4b38aaf80e51bb342d85c0f582a498,Actinobacteriota,M4,0,0,0.057446,12,9.289549,10,0.259208,0.319943,637.228454,1,0.621212,41,21
264,Asgardarchaeota,,213c632c4064a2d08b169f3b3de0f5f3,Asgardarchaeota,M1,0,0,0.180085,24,18.798326,9,0.290498,0.362956,641.336189,1,0.648551,179,21
265,Acidobacteriota,,d9163fbf8d32a2909a3de59361aa1f51,Acidobacteriota,M1,0,0,0.353075,33,26.386886,11,0.231677,0.324804,285.254337,1,0.645833,341,16
266,Planctomycetota,,45d8ccf606557abb88cfc31031dd9fb6,Planctomycetota,M4,0,0,0.014903,9,6.677505,12,0.18502,0.226977,376.2603,1,0.694444,25,29
267,Crenarchaeota,,8f85dba78b94d121ff59ea8b01866e50,Crenarchaeota,M2,0,0,0.068229,8,5.929604,10,0.247512,0.29795,403.605559,1,0.392857,11,21
268,Chloroflexi,,9001e26c180df4ecbfff3be84dd1b333,Chloroflexi,M1,0,0,0.388777,37,29.853385,10,0.259208,0.353749,3862.196564,1,0.569069,379,16
269,Amorphea,,fbb86f2fcc3298efa2af7157c6f31c95,Amorphea,M5,0,0,0.002081,4,3.175888,4,0.431373,0.511364,153,2,0.166667,1,10
270,Proteobacteria,,b9c5ec5c9ffe8cb8d1998232dfaf334a,Proteobacteria,M11,0,0,0.001196,3,2.42516,2,0.8,0.875,3,11,0.333333,1,12
271,Aerophobota,,cb605d0d59302df296520efdd6a617b5,Aerophobota,M1,0,0,0.381385,38,30.337899,10,0.265859,0.362035,2864.572007,1,0.522048,367,16
272,Proteobacteria,,43a0d21161c9bbce3f1a595217fd135f,Proteobacteria,M2,0,0,0.106288,5,3.757315,10,0.211811,0.265493,0,1,1,10,14
273,Nanoarchaeota,,9068ba514bd4ef748f0ac11394801657,Nanoarchaeota,M9,0,0,0.000939,2,1.499877,3,0.545455,0.638889,0,19,1,1,32
274,Chloroflexi,,8c7f0b3365174e7f0c5fce794e51e19e,Chloroflexi,M4,0,0,0.000394,1,0.756109,14,0.128003,0.137896,0,1,0,0,29
275,Hydrothermarchaeota,,79dbe71a54ccce6fd06517669fcafc41,Hydrothermarchaeota,M3,0,0,0.001666,4,3.033153,12,0.121697,0.141617,748,1,0,0,24
276,Crenarchaeota,,22f2a5e59c49df359a19d4f44131ec13,Crenarchaeota,M1,0,0,0.338824,36,28.080882,10,0.27548,0.370703,4898.535461,1,0.474603,299,21
277,Bacteroidota,,6b9d4edeb46be5aedaf5e28bdcecb414,Bacteroidota,M2,0,0,0.022853,2,1.498376,10,0.203159,0.241173,0,1,1,1,14
278,Planctomycetota,,b58df994dfce0ac9cb7b6f533bda1792,Planctomycetota,M3,0,0,0.001235,2,1.474113,11,0.137842,0.15866,1820,1,0,0,24
279,Nanoarchaeota,,d3e171e46bdc4d334bd10c209eec3af1,Nanoarchaeota,M14,0,0,0.00115,3,2.315145,1,1,1,2,9,0.333333,1,2
280,Aerophobota,,4c633b65994d8de3c251a01501cfe163,Aerophobota,M1,0,0,0.018864,8,6.320201,13,0.16719,0.223226,351.900734,1,0.428571,12,16
281,Chloroflexi,,98c434e57224738e5a6d8d0697008845,Chloroflexi,M1,0,0,0.278007,25,19.273969,11,0.220972,0.301378,358.341419,1,0.773333,232,16
282,Gemmatimonadota,,48e43bf207f547fa720ee0d4064d8807,Gemmatimonadota,M1,0,0,0.006576,1,0.735549,10,0.223755,0.253009,0,1,0,0,21
283,Desulfobacterota,,e4c72e8b3bc076ebb20eef8d945502bc,Desulfobacterota,M22,0,0,0.000347,1,0.740961,1,1,1,0,27,0,0,34
284,Proteobacteria,,57a236e8a737242b69050847811d5ec7,Proteobacteria,M1,0,0,0.148537,26,20.450877,10,0.271076,0.352785,3351.395656,1,0.430769,140,21
285,Patescibacteria,,f73f360cc2b51fc47c3545b10f347ef2,Patescibacteria,M3,0,0,0.001833,3,2.237617,11,0.13774,0.159643,123.333333,1,0.666667,2,24
286,Nanoarchaeota,,a634be79f5aca9b59b783cf121c9a1aa,Nanoarchaeota,M29,0,0,0.000347,1,0.772032,1,1,1,0,14,0,0,13
287,Crenarchaeota,,709d979141c126dca40e1a9920010683,Crenarchaeota,M7,0,0,0.001868,3,2.256214,13,0.143241,0.171281,372,1,0.333333,1,6
288,Acidobacteriota,,d9aaee29fcf417e3770f6247b978a4d9,Acidobacteriota,M1,0,0,0.035922,6,4.517789,10,0.255305,0.301129,26.663197,1,0.666667,10,21
289,Desulfobacterota,,7e6b8171435fbe9e3ff19dc210454538,Desulfobacterota,M1,0,0,0.387855,40,32.104932,11,0.234296,0.338433,1354.862277,1,0.539744,421,16
290,Proteobacteria,,5e07a7054641eb38ea9f40463984aad3,Proteobacteria,M2,0,0,0.232967,11,8.154006,10,0.227162,0.290395,5.52488,1,0.872727,48,14
291,Patescibacteria,,71cfacfa571ee56e1dc98c423c89525c,Patescibacteria,M18,0,0,0.00039,1,0.777422,2,0.666667,0.75,0,4,0,0,18
292,Thermoplasmatota,,b328be5c30454efe44f5dad6ec3e887c,Thermoplasmatota,M5,0,0,0.002563,4,3.350191,6,0.268293,0.399242,0,2,1,6,10
293,Crenarchaeota,,026f8ce7315088998fa35dd138534a04,Crenarchaeota,M2,0,0,0.651832,32,24.36189,9,0.25671,0.346098,158.85127,1,0.701613,348,14
294,Patescibacteria,,e19a19e7784df2d21991321b9b451568,Patescibacteria,M1,0,0,0.000977,1,0.741832,14,0.142802,0.168858,0,1,0,0,16
295,Crenarchaeota,,0ada1bc0151565223ff07a828277054b,Crenarchaeota,M2,0,0,0.867402,51,40.562265,9,0.264539,0.380191,1639.960013,1,0.471373,601,14
296,Nanoarchaeota,,9885d3ba67cb743178fb2bcf5c20d6e7,Nanoarchaeota,M3,0,0,0.001695,3,2.29895,11,0.137082,0.156426,116.833333,1,0.666667,2,24
297,Chloroflexi,,24b8a505e646f12c3c3ab28d8ed47360,Chloroflexi,M1,0,0,0.144631,13,9.742043,11,0.212294,0.274488,16.616812,1,0.769231,60,16
298,Proteobacteria,,b4cd6c8ff4e08a281c3bdb05a41664b4,Proteobacteria,M2,0,0,0.264869,12,8.942585,9,0.248667,0.311335,5.121728,1,0.863636,57,14
299,Planctomycetota,,2f8e971e4d37e5fe11bb8c55f0e8cbe3,Planctomycetota,M4,0,0,0.042644,19,14.78351,11,0.224699,0.290392,1292.670095,1,0.508772,87,29
300,TA06,,ce655fec7eaa0762e46c2856b6d925b9,TA06,M1,0,0,0.001713,1,0.722286,11,0.19089,0.212558,0,1,0,0,21
301,Schekmanbacteria,,a55a8d2fa80686ea45a66affa5c409f5,Schekmanbacteria,M4,0,0,0.003579,3,2.199729,12,0.176026,0.207719,742,1,0.333333,1,29
302,Proteobacteria,,dfb6c96c890e7e5ba2443685f76caf33,Proteobacteria,M1,0,0,0.007354,1,0.761825,10,0.229397,0.261147,0,1,0,0,21
303,Calditrichota,,0dfc4c6de6ac182a9d718ad4c703ed54,Calditrichota,M1,0,0,0.00792,1,0.733453,10,0.229821,0.263394,0,1,0,0,21
304,Proteobacteria,,3c0c6d98b2ecbd73fcfa2622eaef7686,Proteobacteria,M2,0,0,0.051619,2,1.48655,10,0.217239,0.261968,0,1,1,1,14
305,Crenarchaeota,,cc9a48d00f31bd512a15d759c48318f1,Crenarchaeota,M2,0,0,0.04382,2,1.466038,10,0.209551,0.255529,0,1,1,1,14
306,Proteobacteria,,506a05e587edea97f4ee40c0cce93347,Proteobacteria,M4,0,0,0.007151,8,5.880829,11,0.206763,0.246935,2284.076365,1,0.178571,5,29
307,Asgardarchaeota,,7eba240627de4c866e838394a8a76ce5,Asgardarchaeota,M16,0,0,0.000699,2,1.500724,1,1,1,1,13,0,0,15
308,Aerophobota,,146521df100c7b2442e318ca39450e5c,Aerophobota,M1,0,0,0.063815,17,13.592569,12,0.187249,0.257269,453.283749,1,0.338235,46,16
309,Nanoarchaeota,,4118941cc73818f86e7138b7f2735af2,Nanoarchaeota,M5,0,0,0.001888,3,2.287435,4,0.392857,0.469697,112,2,0.333333,1,10
310,Planctomycetota,,ce3c0c3f9f8975745f5249d95822471e,Planctomycetota,M4,0,0,0.031919,16,12.536281,11,0.212415,0.271102,518.215874,1,0.583333,70,29
311,Bacteroidota,,92fd765a416f189e16ec4e30b1031c89,Bacteroidota,M8,0,0,0.006128,2,1.543896,12,0.166816,0.205104,17.055429,1,0,0,31
312,Patescibacteria,,968033cea6395b878a254fe38d248bf3,Patescibacteria,M3,0,0,0.000498,1,0.728399,13,0.108493,0.120539,0,1,0,0,24
313,Aenigmarchaeota,,cbed4d063dec2153d67af3114d7fcf9a,Aenigmarchaeota,M4,0,0,0.000898,2,1.464617,13,0.149859,0.169367,372,1,0,0,29
314,Chloroflexi,,0f5a2c9b6e3d73dc261f634e58eb5706,Chloroflexi,M16,0,0,0.00039,1,0.736629,2,0.666667,0.75,0,13,0,0,15
315,Hadarchaeota,,9be0f43be4ed7540287d61648a68783e,Hadarchaeota,M5,0,0,0.00182,3,2.260464,6,0.30137,0.410606,0.583333,2,0.666667,2,10
316,Proteobacteria,,305accf3e4c40beb50b38a020ff33135,Proteobacteria,M2,0,0,0.565481,26,19.806496,9,0.252197,0.333006,11.091484,1,0.830769,270,14
317,Proteobacteria,,c84317820b3f4d682e296fab643d2550,Proteobacteria,M2,0,0,0.279391,20,15.445835,10,0.2198,0.300793,629.619246,1,0.721053,137,14
318,Aerophobota,,787b70b6eecfa8c70329c822ef469070,Aerophobota,M1,0,0,0.348756,34,27.689008,11,0.223353,0.317017,343.436111,1,0.636364,357,16
319,Asgardarchaeota,,a184e81780b60d021b23943ca7f9c314,Asgardarchaeota,M1,0,0,0.002593,2,1.624465,14,0.143627,0.176052,0,1,1,1,16
320,Crenarchaeota,,8565ac3cc782405edd232dab145cd848,Crenarchaeota,M1,0,0,0.005474,1,0.755032,10,0.207568,0.235321,0,1,0,0,21
321,Desulfobacterota,,ebd8f21f43e971924c6a891bc5d6b8e4,Desulfobacterota,M1,0,0,0.199507,19,14.567652,12,0.195084,0.268922,305.356922,1,0.760234,130,16
322,Nanoarchaeota,,57361b43d351c75a10b911142eedb371,Nanoarchaeota,M1,0,0,0.015906,5,3.678209,12,0.180892,0.230148,40.419734,1,0.2,2,16
323,Desulfobacterota,,7144bcca710e40f20f71eeaf36218106,Desulfobacterota,M5,0,0,0.001373,2,1.470161,6,0.261905,0.353788,0,2,1,1,10
324,Crenarchaeota,,ab9191b07517b99a40b7c4f6ec0bc818,Crenarchaeota,M1,0,0,0.150532,28,22.074103,8,0.2887,0.359776,4138.928313,1,0.42328,160,21
325,Crenarchaeota,,3b804cc3ff2d61090d4e6438f531d225,Crenarchaeota,M2,0,0,0.105893,13,10.049923,11,0.197459,0.26262,1991.751656,1,0.538462,42,14
326,Desulfobacterota,,65f714b5d2dbba10b5868c2001f97af0,Desulfobacterota,M1,0,0,0.161192,13,9.79151,11,0.226198,0.290935,5.752991,1,0.858974,67,16
327,Asgardarchaeota,,5e24ef69e70b236d98a1323f5c7dda0d,Asgardarchaeota,M1,0,0,0.181565,24,18.926448,9,0.2887,0.361347,1322.007637,1,0.601449,166,21
328,Hydrothermarchaeota,,fb937aa60aa6ed1d7d22d6e47b937664,Hydrothermarchaeota,M3,0,0,0.000492,1,0.746204,13,0.108525,0.12029,0,1,0,0,24
329,Actinobacteriota,,4bf7ab5df3ff25232185da700f0a96ff,Actinobacteriota,M1,0,0,0.022062,6,4.69025,13,0.166667,0.218088,268.525065,1,0.6,9,16
330,Thermoplasmatota,,6b99eb26286c993c96b2247699d69f32,Thermoplasmatota,M1,0,0,0.3584,34,27.818319,11,0.233271,0.329943,744.093587,1,0.654189,367,16
331,Crenarchaeota,,3382a5ed6cc1796ea1eb83d9707ccfd9,Crenarchaeota,M7,0,0,0.002462,4,3.034219,13,0.143351,0.173068,127.833333,1,0.333333,2,6
332,Crenarchaeota,,df68bdd1b0ec963847d4859b8f0a7ac7,Crenarchaeota,M2,0,0,0.674597,34,26.648261,9,0.254608,0.345964,66.631376,1,0.695187,390,14
333,Proteobacteria,,1bcb6f6f3eb6a0b5a3d8a309ad2add56,Proteobacteria,M6,0,0,0.005003,7,5.476729,11,0.190988,0.223381,164.423836,1,0.47619,10,22
334,Planctomycetota,,cf68e5794e5dcb7eff15da2553cf32c8,Planctomycetota,M4,0,0,0.030145,12,9.370253,11,0.223487,0.280115,855.966417,1,0.560606,37,29
335,Chloroflexi,,a0cf9bb5b37e965c90c49e3a6f08f567,Chloroflexi,M1,0,0,0.034262,10,8.287099,13,0.168094,0.228544,41.887382,1,0.644444,29,16
336,Proteobacteria,,2c87b2cb48cdaff05073c7efb5ab9c7f,Proteobacteria,M11,0,0,0.001196,3,2.311224,2,0.8,0.875,3,11,0.333333,1,12
337,Crenarchaeota,,06c258839d761f2d94b7ebcc54080271,Crenarchaeota,M2,0,0,0.001335,1,0.755614,11,0.180019,0.202138,0,1,0,0,14
338,Bacteroidota,,41396823fd60fc87fb242e82eebae652,Bacteroidota,M2,0,0,0.592002,33,26.118321,10,0.235777,0.331548,158.792327,1,0.653409,345,14
339,Crenarchaeota,,8b6d803f9987cf3bd6852b81b1ae5e90,Crenarchaeota,M2,0,0,0.322372,19,15.093797,10,0.229256,0.304024,40.243301,1,0.736842,126,14
340,Proteobacteria,,68da10d89ea5ceb3230f26188a1137bd,Proteobacteria,M2,0,0,0.019215,1,0.735143,11,0.19138,0.232682,0,1,0,0,14
341,NB1-j,,5a2e76e25adf522c7e6adaf836d42891,NB1-j,M2,0,0,0.005636,2,1.484596,12,0.165631,0.200278,0,1,1,1,6
342,Asgardarchaeota,,255fa16026a8df09a1543eb75cf43b44,Asgardarchaeota,M24,0,0,0.000347,1,0.746076,1,1,1,0,23,0,0,17
343,Crenarchaeota,,affee0c9eaff95dc7d0e600b94c9e092,Crenarchaeota,M2,0,0,0.008343,2,1.502411,11,0.190306,0.22429,0,1,1,1,14
344,Crenarchaeota,,230892ee28eb6b6d1a9ce90295c4d33c,Crenarchaeota,M2,0,0,0.153226,11,8.400665,10,0.226472,0.288385,190.936813,1,0.8,44,14
345,Crenarchaeota,,333a8232e18fb80198e82d48de2d3ce5,Crenarchaeota,M1,0,0,0.040711,8,6.225931,9,0.241894,0.283992,22.41334,1,0.75,21,21
346,Actinobacteriota,,fde43b9671722824752e64726266aeb1,Actinobacteriota,M3,0,0,0.003452,4,2.988784,8,0.206419,0.229848,94.147215,1,0.666667,4,24
347,Chloroflexi,,d68845b231647ff80435bf15c54836e0,Chloroflexi,M3,0,0,0.001783,4,2.924046,12,0.121657,0.142243,1113,1,0,0,24
348,Crenarchaeota,,2978e310d742cf29dd1f632c55b182eb,Crenarchaeota,M2,0,0,0.003373,1,0.816287,12,0.165044,0.197106,0,1,0,0,6
349,Desulfobacterota,,b56eaba4002f78cf3a84566ef49565ab,Desulfobacterota,M1,0,0,0.062995,13,10.057124,12,0.188194,0.255897,548.032004,1,0.397436,31,16
350,Myxococcota,,3b1bb844f1d1e44f4c24194235fa0680,Myxococcota,M1,0,0,0.04908,8,6.156439,9,0.258131,0.311009,615.155585,1,0.5,14,21
351,Nanoarchaeota,,79e44d7479448ca6b340e4a863dc300a,Nanoarchaeota,M1,0,0,0.008908,1,0.728568,12,0.1865,0.221781,0,1,0,0,16
352,Asgardarchaeota,,4b026a2376a28cd5aef141e02ae03d87,Asgardarchaeota,M3,0,0,0.001215,2,1.462251,11,0.137334,0.155845,4.666667,1,0,0,24
353,Hydrothermarchaeota,,4e922ee69a2360d9d3ef485199aa88f1,Hydrothermarchaeota,M35,0,0,0.000347,1,1,1,1,1,0,28,0,0,37
354,Crenarchaeota,,9dd083d2cf4d40fee9cb400529d492eb,Crenarchaeota,M1,0,0,0.058327,6,4.453655,10,0.243314,0.29133,8.076158,1,0.733333,11,16
355,Proteobacteria,,e6deb3fd688e233ae4189fa24200f26a,Proteobacteria,M9,0,0,0.001699,4,3.001061,2,0.75,0.833333,9,19,0.333333,2,32
356,Crenarchaeota,,7b82ac238c5e0582b8dc5c8cd91cc1d8,Crenarchaeota,M2,0,0,0.540415,32,24.795703,9,0.276092,0.363792,1150.674742,1,0.612903,304,14
357,Proteobacteria,,ecbcf8c563ebaa422a5874e6b2d01a46,Proteobacteria,M2,0,0,0.700506,38,29.622563,10,0.236375,0.338027,198.535447,1,0.625889,440,14
358,Nanoarchaeota,,d096542ac5d99cc2d73374b99dcc8d4f,Nanoarchaeota,M4,0,0,0.020785,10,7.56109,11,0.219929,0.27326,665.508624,1,0.533333,24,29
359,Asgardarchaeota,,6ff7e1740e429a267f14901513aa9735,Asgardarchaeota,M1,0,0,0.180653,22,16.924968,12,0.196626,0.277858,241.248801,1,0.549784,127,16
360,Nitrospirota,,b784791a0ffe00f6d9d6a29f94d116e1,Nitrospirota,M2,0,0,0.007008,1,0.764978,11,0.18585,0.217477,0,1,0,0,14
361,Crenarchaeota,,d38f7ae6425f83d165aff5c45cfc5c60,Crenarchaeota,M2,0,0,0.850004,50,40.365045,9,0.259388,0.372103,485.774793,1,0.484898,594,14
362,Crenarchaeota,,40084ff95f1340d97e35a97422840871,Crenarchaeota,M2,0,0,0.059369,9,6.826159,11,0.194982,0.253683,237.090026,1,0.444444,16,31
363,Thermoplasmatota,,5c86935536d83237335a379ae718c31f,Thermoplasmatota,M18,0,0,0.000699,2,1.579161,1,1,1,1,4,0,0,18
364,Asgardarchaeota,,505cf78e7bb07c3d8cdde2756c77f5bd,Asgardarchaeota,M1,0,0,0.134399,22,17.152879,9,0.261754,0.327889,554.608603,1,0.554113,128,21
365,Acidobacteriota,,f38b061a856db2f0a0c8d47b537859f0,Acidobacteriota,M2,0,0,0.018746,3,2.285768,11,0.188289,0.228246,372,1,0.333333,1,14
366,Hydrothermarchaeota,,06d396867a5a8d6f74fb515f974996b0,Hydrothermarchaeota,M3,0,0,0.000492,1,0.753175,13,0.108525,0.12029,0,1,0,0,24
367,Patescibacteria,,6277c359115e50706357a8c2e46e531e,Patescibacteria,M17,0,0,0.000699,2,1.587278,1,1,1,1,22,0,0,19
